query,recipe_id,recipe_name,Relevance,
tomato,24753,Tomato and Cottage Cheese Snack,5,
tomato,3291,Tomato Salad -(Saladi Ya Nyanya),5,
tomato,49510,Breaded Tomatoes (Tapas/Appetizers),4,
tomato,11483,Canned Salsa -Batch 2,4,
tomato,45802,Roasted Tomato Soup,4,
tomato,987,Shoney's Cabbage beef soup,3,
tomato,33373,Sugar Glazed Fried Tomatoes,5,
tomato,18922,Cherry Tomato and Zucchini Bake,4,
tomato,41010,Heart Healthy Chicken Salad Stuffed Tomatoes,4,
tomato,18475,Clams in Tomato,4,
tomato,26348,Italian Tofu Spread,3,
egg,42555,Heart Healthy Deviled Eggs,5,
egg,4363,Easter Eggs - Decorate and Dye Options,5,
egg,8651,Scrambled Eggs and Ham,5,
egg,51624,Healthy Ham Egg and Cheese Sandwich,5,
egg,16397,Baked Not Fried Egg Rolls,5,
egg,43636,Egg Beaters Substitute,5,
egg,38873,Healthy Scrambled Eggs,5,
egg,35439,Dressed up Egg Beaters,5,
egg,29728,Whole Wheat Egg Mcmuffin,5,
egg,11356,Low Fat Egg and Ham Breakfast Casserole,5,
egg,34384,Tres Leches,3,
egg,33814,Lemon Egg Soup,5,
egg,43831,Turkey and Stuffing Egg Rolls,5,
egg,17284,Egg and Cheese Bagel Breakfast Sandwich,5,
egg,52299,Canadian 'old-Time' Brandy Sauce,4,
egg,17199,Wholemeal Pitta Pocket Brekkie,3,
egg,16712,Sally's Rice Pudding,4,
egg,42528,Red Currants With Eggedosis,5,
egg,36704,Fried Rice With Eggs,5,
egg,831,Easter Eggs - Egg Dye,5,
egg,49583,Soy Sauce Eggs,5,
egg,27536,Greek Chips With Egg (Patates Me Avga),5,
egg,26007,Banana Latkes,4,
egg,16038,Old Fashioned Rice Pudding,3,
egg,18893,Guilt-Free Spicy Omelet,5,
egg,41434,Super Dooper Easy Egg Rolls,5,
egg,27608,Tofu-Vegetable Egg Rolls,5,
egg,19261,Fluffy Tapioca Pudding,4,
egg,52238,Tapioca Cream,4,
egg,35879,Healthy Eggs Florentine,5,
egg,21292,PB&amp;J French Toast - My kids and husband love this!!,3,
egg,26316,Ma's Lemon Pudding Cake,4,
egg,53342,Honey Ice-Cream,3,
egg,48992,Lite Lemon Egg Soup,4,
egg,50671,Sam's Avgolemono Soup,3,
egg,48329,Egg Whites  Beans  and Salsa,5,
egg,2893,E-Z Poached Eggs for 2,5,
egg,41492,Parsnip Patties,4,
egg,52903,Healthy  High Fiber  Protein  Low Carb and Calorie Egg Breakfast,4,
egg,50182,Spinach-Cheddar Frittata,3,
egg,27924,Snow Eggs With Chocolate Sauce,5,
egg,24529,Rice Porridge With Fresh Eggs,5,
egg,5163,Applesauce Brownies,4,
egg,30907,Blueberry Bundt Cake,4,
egg,22496,Post Workout Egg Flip,5,
egg,34086,Dutch Pancakes,5,
egg,10799,Egg-White Fluffy Pancakes,5,
egg,43289,Amish Dream Cake,5,
egg,35388,Aebleskevers,3,
egg,47366,Mock Eggs Benedict,5,
egg,5599,Simple and Easy Tunisian Scrambled Eggs With Veggies,5,
egg,14255,Fried Egg Sammie,5,
egg,12833,Ladyfingers,4,
egg,33980,Protein Shake,5,
egg,33545,Gramma's Pancakes,5,
egg,41737,Lemon Delicacy,4,
egg,3144,Scallion Fried Rice,4,
egg,28867,Simple Creme Anglaise,3,
egg,39841,Tom and Jerrys for 2,3,
egg,36155,Glissant (Quebec Dumplings),4,
egg,15614,Sweet Potato Latkes (Pareve),4,
egg,24442,Shrimp With Egg Noodles,3,
egg,39797,White Wine &amp; Cream Cheese Scramble,3,
egg,49942,V-8 Cheesy Healthy Omelet,4,
egg,33823,Potato  Egg  and Cheese Breakfast Casserole,4,
egg,38660,Grandma Mary's Potato Salad,4,
egg,45175,Coffee Souffle,3,
egg,10230,Lite Scrambled Eggs With Smoked Salmon,5,
egg,7946,Sponge Cake,5,
egg,54828,One Pot Poached Eggs &amp; Rice,5,
egg,21504,Egg Beaters Substitute,5,
egg,51614,Healthy Potato and Egg Scamble,5,
egg,15064,Low Fat Breakfast Sandwich,4,
egg,25721,Mom's Rice Pudding,4,
egg,258,Panko Encrusted Cod,4,
egg,10393,Savoiardi (Italian Ladyfingers),4,
egg,55188,White Cloud Eggs,5,
egg,52913,Orange Wine Sauce for Dessert,4,
egg,25226,Tapioca Pudding,4,
egg,36150,Aunt Emma's Old Fashioned Egg Nog,5,
egg,43734,Aunt Pauline's Lemon Sponge Cake,5,
egg,45597,Coach Quinn's Potato Salad,4,
egg,14259,Eggnog French Toast,5,
egg,33535,Easy Bread Pudding,5,
egg,55925,Homemade Easter Eggs,5,
egg,25876,Hawaiian Chicken Breasts,3,
egg,48134,Rice Soup With Egg (Greek),5,
egg,4170,Pumpkin Puff,4,
egg,13379,Apple Vanilla Egg Breakfast Dessert,4,
egg,51056,Sweet Potato Waffles,3,
egg,4818,Crockpot Tapioca Pudding,4,
egg,23433,My Favorite Rice Pudding,4,
egg,4043,Fat-free Homemade Egg Substitute,4,
egg,29969,French Toast Sticks,3,
egg,0,Chinese Fried Rice,5,
egg,6024,Smoked Salmon Egg Salad,4,
egg,24112,Grandma's Potato Puffs,3,
egg,51691,Old Fashioned Potato Salad,3,
egg,7225,North African Chicken Noodle Soup,3,
egg,35256,Low Fat Plain Sponge,3,
egg,22159,New England Deep Fried Clams,3,
egg,40225,Homemade Egg Noodles,3,
egg,40637,Healthy Vegetarian Breakfast Sandwich,5,
egg,22495,Beid Bi Lamoun (Egg and Lemon Soup),4,
egg,1784,Tasty Shrimp Toast,4,
egg,49712,Angel Cake,4,
egg,303,Creamy Tapioca Pudding,4,
egg,36275,Healthy Morning Sandwich,3,
egg,43909,Shrimp Egg Rolls,4,
egg,50006,Sandbags,3,
rice,16869,Simple Rice Side (Rice Cooker),3,
rice,37908,How to Cook Japanese Rice on Stove,4,
rice,11049,Quick Home Made Rice Better Than Rice-A-Roni!,4,
rice,17391,Brown Jasmine Rice With Quinoa,5,
rice,39388,Chicken Brown Rice,5,
rice,53823,Nori/ Sushi Rice,4,
rice,40237,Cilantro Rice With All Raw Veggies,4,
rice,43283,Mushroom &amp; Tomato Rice,3,
rice,15226,Crunchy Bottom Butter Rice,5,
rice,18655,Perfect Cooked Rice,5,
rice,824,Fluffy White Rice,5,
rice,26708,Khao Plow (Thai Jasmine Rice),4,
rice,15101,Ginger and Oyster Steamed Rice,5,
rice,34742,Charishma's Salt Free and Fat Free White Basmati Rice,4,
rice,33491,Sushi Rice,4,
rice,16539,Basmati Rice With Corn and Peas (Rice Cooker),4,
rice,16889,Simple Brown Rice,4,
rice,6170,Chinese White Rice,5,
rice,52984,Spinach Rice,5,
rice,25474,Japanese Sweet Potato and Rice - Shojin Ryori,4,
rice,45123,Foolproof Thai Sticky Rice,5,
rice,7621,Fiesta Rice,5,
rice,28362,Puerto Rican White Rice,5,
rice,11210,Rice Cooker Pilaf With Brown Rice  Lentils  and Wild Rice,5,
rice,20257,Never-Fail Rice,4,
rice,54181,Tuna Rice Salad,4,
rice,46042,Billy Zac's Four Inch Pan of Brown Rice,4,
rice,2276,Kittencal's Perfect Cooked White Rice (Soft  Medium or Firm),5,
rice,46246,Low Fat Fried Brown Rice,5,
rice,28133,Crispy Rice for Sizzling Rice Soup,5,
rice,19917,Rice Gruel,5,
rice,9224,Thai Sticky or Glutinous Rice (Cook With Microwave),5,
rice,54606,Sticky Rice,5,
rice,4049,Middle Eastern Raisin Rice,5,
rice,39583,D-I-Y Sushi,4,
rice,15867,The Lazy Cook's Spanish Rice,5,
rice,597,Rice Cooker Wild Rice,5,
rice,18465,Bamboo Rice,5,
rice,10492,Easy Rice and Corn,4,
rice,28904,Chick-O-Rice,5,
rice,16176,Polynesian Rice (Rice Cooker Recipe),5,
rice,11748,Cheesy Rice,5,
rice,13816,My Mom's Famous White Rice,4,
rice,45991,Mexican Rice,5,
rice,17614,Sticky  Sticky Rice (Khao Neow),4,
rice,15176,African Rice Balls,5,
rice,17148,Rice Penguins,4,
rice,44888,Perfect Steam Pot Rice,5,
rice,39744,Mexican Rice,5,
rice,11004,Thai Celery  Rice Cooker Rice,5,
rice,11548,Sweet Rice Salad,4,
rice,17662,Herby Persian Polow-Wow-Wow!,3,
rice,2175,Lola's Horchata,3,
rice,167,Perfect Steamed Rice Every Time,4,
rice,48128,Easiest 4 Ingredient Mexican Rice,5,
rice,32601,Boiled Rice,5,
rice,14628,Mandarin Turmeric Rice,5,
rice,22002,Mango and Sticky Rice,4,
rice,47221,Rice Pudding (Arroz Doce),4,
rice,30227,Miso-egg Congee,4,
rice,22085,French Onion Rice (Rice Cooker),5,
rice,56450,Wild About Rice,5,
rice,1110,Jasmine Rice,4,
rice,27999,Water Chestnut Rice,5,
rice,32003,Easy Asian Spinach and Rice Salad,4,
rice,36558,Refried Rice,5,
rice,42336,Iranian Rice,5,
rice,15664,Carolina Style Spanish Rice,5,
rice,46179,Cream of Chicken With Rice on Toast,5,
rice,21999,Cajun Rice Pilaf (Rice Cooker),4,
rice,48522,The Perfect Basmati Rice,5,
rice,52700,Full of Flavor Mexican Rice,5,
rice,10398,Rice With Carrots and Peas (Rice Cooker),5,
rice,17602,Ginger Cooked With Rice,4,
rice,14306,Crunchy Rice Salad,4,
rice,48779,Perfectly Steamed Brown Rice,4,
rice,41374,Anita's Simply Delish Rice (Rice Cooker),4,
rice,54598,Rice Cooker Vintner's Rice and Steamed Shrimp,4,
rice,47734,Cabbage and Egg over Rice,4,
rice,24385,Sweet Rice Pudding,4,
rice,6772,Cumin and Saffron Rice,5,
rice,25163,Foolproof  Brown Rice,4,
rice,18870,Peaches or Pears and Rice,3,
rice,41009,Simple Rice Breakfast,4,
rice,1450,Pineapple Rice,4,
rice,53981,Coconut Sticky Rice &amp; Mango,3,
rice,39341,Onion Garlic Fried Rice (Use Day Old Rice),5,
rice,53009,Green Rice,4,
rice,50961,Creamy Mushroom Rice,5,
rice,17262,Rice Cooker Tilapia and Rice,4,
rice,37856,Yummy Persian Rice,4,
rice,18783,9-Grain Rice (Gugokbap),3,
rice,55854,Risotto Rice,4,
rice,49167,Fiesta Rice,4,
rice,5566,Mushroom and Rice Casserole,4,
rice,10243,Milk Risotto (Milk Rice &quot;my Way&quot;),4,
rice,24550,Classic Rice Pilaf,4,
rice,34206,Summer Rice Dessert,4,
rice,25616,Sweet Rice,3,
rice,30621,Beef Flavored Rice,4,
rice,967,Perfect No Fail Basmati Rice,4,
rice,25059,Rice Cooker Green Rice,3,
rice,30385,Shore Lunch Wild Rice,4,
rice,8022,Japanese Rice With Salted Peanuts and Scallions,4,
rice,53549,Texas Toasted Rice,5,
rice,558,Plain Rice --  Make Ahead OAMC Throw It in the Freezer!!,3,
rice,7040,Authentic Mexican Rice,4,
rice,42816,Always Fluffy Basmati Rice,4,
rice,28285,Cooked Wild Rice,4,
rice,33967,Healthy Tuna Steak  Rice and Veg,4,
chicken,32474,Cooking Boneless Skinless Chicken Breast,5,
chicken,29928,Easy Chicken &amp; Rice Soup,3,
chicken,22017,Poached Chicken Breast  (Crock Pot),5,
chicken,48887,Kimbell Museum Southwest Chicken Soup,5,
chicken,37674,Crock Pot Chicken and Gravy,5,
chicken,52876,Fig and Chicken Yakitori,4,
chicken,2329,(My Own Lazy Day Recipe)  Chicken Noodle Soup,4,
chicken,32652,Yogurt Chicken,5,
chicken,10877,Low Carb Balsamic Chicken,4,
chicken,43459,Chicken Salsa Soup,4,
chicken,20828,BBQ Pulled Chicken Sandwiches,5,
chicken,46179,Cream of Chicken With Rice on Toast,4,
chicken,29238,Down-Home Chicken &amp; Noodles,3,
chicken,52745,Lemon Basil Chicken Crunch,5,
chicken,47264,Low Carb Chicken Soup,4,
chicken,30376,Seasoned Chicken with Soup Gravy,4,
chicken,27055,Grandma D's Chicken Noodle Soup,4,
chicken,57044,Spicy Chicken and White Bean Soup,4,
chicken,45047,Crock Pot Fiesta Chicken,5,
chicken,31380,Simple BBQ Chicken,5,
chicken,12249,Crunchy Chicken and Rice Casserole,4,
chicken,49941,Easy BBQ Chicken Sandwiches,5,
chicken,9986,Easy Crockpot Chicken and Dressing,5,
chicken,33305,Southwest Chicken,5,
chicken,13513,Strawberry Spinach Salad With Chicken Breast,5,
chicken,18580,Chicken Breast With Creamy Mushroom Sauce,4,
chicken,32134,Green Chili Chicken,5,
chicken,20620,Authentic Chicken Marsala,5,
chicken,548,Greek Lemon Chicken Soup,5,
chicken,25300,Lemon Chicken,5,
chicken,3055,Chicken Cordon Bleu,5,
chicken,7467,Honey Chicken Thighs,5,
chicken,34543,Garlic And Herbs Chicken,4,
chicken,32535,Crunchy No-Fry Chicken,4,
chicken,1103,Spicy Honey-Brushed Chicken Thighs,5,
chicken,21115,Shredded Mexican Chicken,5,
chicken,39936,Esther's Chicken Soup,4,
chicken,34701,Mysterious Chicken's Grilled Chicken,4,
chicken,28828,Chicken Breasts w/Sun-Dried Tomato and Garlic,4,
chicken,38464,Quick Chicken Parmesan,5,
chicken,50233,Fruit Salad Marinated Chicken,4,
chicken,3114,Chicken Tortilla Soup (Quick),5,
chicken,44220,Sticky Marmalade Chicken,4,
chicken,18817,Rachel's Chicken Soup,4,
chicken,28370,Herb Baked Chicken Breasts,5,
chicken,34691,White Sherry Chicken,5,
chicken,51111,Chicken and Spinach Wild Rice Soup,4,
chicken,398,Tarragon Chicken Casserole,5,
chicken,27844,Steeped Chicken,5,
chicken,16566,Baked Taco Chicken Fingers,5,
chicken,15910,Rosemary Chicken With Apples and Onions,5,
chicken,53954,Southwest Chicken,5,
chicken,19089,Low Carb breaded Chicken,4,
chicken,2230,Crock Pot Chicken Chowder,4,
chicken,54919,Cheesy Chicken &amp; Rice Bake,3,
chicken,56799,Crock Pot Chicken &amp; Rice,3,
chicken,4246,Light Teriyaki Chicken,4,
chicken,18656,Slow Cooker Chicken Filling,5,
chicken,1570,Lemon Garlic Chicken Breasts,4,
chicken,31289,Salsa and Coke Chicken,5,
chicken,53474,Chicken Breasts,5,
chicken,11,Crock Pot Chicken Taco Meat,5,
chicken,54992,Teriyaki Barbecued Chicken Sandwiches,5,
chicken,19570,Quick and Easy Lemon Pepper Chicken,5,
chicken,13498,Chicken &amp; Sweet Corn Soup,3,
chicken,46926,Abs Diet Baked Herbed Chicken,4,
chicken,51153,Chicken Rolls,5,
chicken,2613,Chicken Noodle Soup,4,
chicken,26031,Cheesy Chicken and Stuffing Bake,5,
chicken,30164,Gram's Baked Chicken,5,
chicken,52649,Savory Lemon Chicken,5,
chicken,606,Fajita Style One-Dish Chicken Dinner,5,
chicken,40188,Curried Chicken and Citrus,5,
chicken,1877,Skillet Chicken  Stuffing and Gravy,4,
chicken,27058,Chicken Maple Glaze,2,
chicken,53376,Chicken Maple Glaze,5,
chicken,24427,Chicken and Rice,4,
chicken,43417,Chicken With Apricots (Toddler),4,
chicken,33691,O'charley's Chicken Harvest Soup,4,
chicken,11009,Apricot-Balsamic Skillet Chicken,4,
chicken,42420,Oven Barbeque Chicken,5,
chicken,45998,Citrus Chicken,4,
chicken,41647,Tender &amp; Juicy Parmesan Baked Chicken,3,
chicken,4914,Maple-Baked Apple Chicken,4,
chicken,670,Chicken Piccata,5,
chicken,35904,Instant Pot Shredded Chicken,5,
chicken,47522,Chicken Cacciatore,5,
chicken,16948,Chicken Breast for Sandwiches and Salads,5,
chicken,25708,Crock Pot Chicken With Potatoes,4,
chicken,56889,Chicken Soup With Rice,4,
chicken,54594,Chicken Mushroom and Papaya Salad,4,
chicken,30464,Lemon chicken,5,
chicken,2423,Fried Chicken Livers,5,
chicken,38468,Crunchy No-Fry Chicken,5,
chicken,18955,Chicken With Garlicky Potato Fans,4,
chicken,36661,Chicken and Wild Rice Soup,4,
chicken,33479,English Muffin Chicken,4,
chicken,22958,Glazed Chicken Kabobs,4,
chicken,46396,Spicy Tropical Chicken,4,
chicken,19953,Sticky Marmalade Chicken,4,
chicken,22987,Crunchy Curried Chicken Breasts,4,
chicken,23747,Chicken Mango Tacos,4,
chicken,8143,Asian Chicken Pitas,4,
chicken,8088,Easy Chicken Whatever!,5,
chicken,47818,Ginger Chicken Noodles and Barley Soup,4,
chicken,3251,Cream of Chicken & Stuffing Casserole,4,
chicken,56513,Strawberry Chicken Salad,4,
chicken,46954,Down-Home Chicken &amp; Noodle Soup,3,
chicken,56497,Crunchy No-fry Chicken,4,
chicken,41327,Chicken and Rice,3,
beef,29143,BBQ Beef Sandwiches - Crock Pot,4,
beef,21126,Beef in Red Wine Gravy,5,
beef,47512,Beef Barley Soup,4,
beef,32415,Beef &amp; Bean Sprouts,3,
beef,56783,Spicy Beef &amp; Veggies Pita Pockets,3,
beef,744,Crock Pot Beef and Noodles,5,
beef,8408,Baked Beef Stew With Carrots,5,
beef,25556,Beef Barley Soup,5,
beef,49935,Southwestern Pot Roast,4,
beef,11037,Holiday Brisket With Savory Onion Jus,3,
beef,39130,Slow Cooker Beef Barbecue,5,
beef,987,Shoney's Cabbage beef soup,5,
beef,29554,Easy Oven Vegetable and Beef Stew,5,
beef,52919,Cabbage-Beef Casserole,5,
beef,30781,Brown Rice and Beef Casserole,5,
beef,38706,Beef Burgundy With Egg Noodles,5,
beef,48141,Beef Stroganoff,5,
beef,24121,Beef Teriyaki,5,
beef,49643,Brodu Tac-Canga / Beef Broth,4,
beef,2968,Crock Pot Beef Stew,5,
beef,35746,beef and red wine soup,5,
beef,10672,Western Trail Beef and Macaroni,5,
beef,19733,No Fail Crock Pot Beef Stew,4,
beef,1810,Beef for Tacos,5,
beef,253,Easy Beef Macaroni,5,
beef,2257,Slow Cooker Beef Stew,5,
beef,12086,Foolproof Crock Pot Beef Stew,5,
beef,30028,Steak and Potato Soup,5,
beef,48936,Artichoke Wraps,4,
beef,12797,Deep Fried Beef Rolls (Martabak Telur),5,
beef,32333,Beef Soup With Egg Noodles,5,
beef,33419,Spicy Beef Sandwich,5,
beef,40327,Campbell's French Dip Sandwiches,4,
beef,4666,Mashed Potato Corned Beef Hash,5,
beef,47155,Goulash,4,
beef,5924,Slow-Cooked Sirloin,5,
beef,27182,Super Easy Slow-Cooker Vegetable Barley Beef Soup,5,
beef,39674,Gingered Beef and Noodles,4,
beef,40136,Amazing Gound Beef Dinner,5,
beef,32662,Lighter Beef Stroganoff,4,
beef,56016,Sweet and Sour Beef for a Crowd!,5,
beef,50632,Hamburger Soup,4,
beef,15610,Fast and Easy Beef Stir Fry,5,
beef,54199,Ginger-Orange Beef Pita Sandwiches,5,
beef,980,Crock Pot Wild Mushroom Beef Stew,5,
beef,47557,My Vegetable Beef Soup,4,
beef,50959,Sailor's Beef,5,
beef,29986,Cabbage Beef Soup,4,
beef,36123,Crock Pot Low Carb Un-Stuffed Cabbaage Roll Soup (Whole30),3,
beef,13387,Denny's' Vegetable Beef Barley Soup,4,
beef,22999,Roast Beef Salad,4,
beef,30731,Lemon and Onion Marinated Beef,4,
beef,9406,Beefy Lentil Vegetable Soup,4,
beef,507,Crock Pot Beef Barbecue,4,
beef,17837,Quick Beef Vegetable Soup,4,
beef,10568,Beef and Tomato Stir-Fry,4,
beef,46053,Beef Barley Soup,4,
beef,42096,Garlic Mashed Potatoes and Beef Bake,4,
beef,2749,Black Bean and Corn Soup,3,
beef,53145,Black Pepper Beef and Cabbage Stir Fry,4,
beef,28395,Beef with Tomato and Green Peppers,5,
beef,51062,Pronto Taco Chili,3,
beef,47805,Corned Beef Hash Green Bean Casserole,4,
beef,37683,Stir-Fried Beef and Vegetables With Linguine,4,
beef,53298,Simple Slow Cooker Chili,3,
beef,46774,Changjorim (Korean Salted Beef),4,
beef,38082,Beef Burgundy,5,
beef,31279,Shepherd's Skillet,3,
beef,36568,Beef &amp; Broccoli,3,
beef,30487,Oven Baked Beef Casserole,4,
beef,36719,Crock Pot Beef Taco Soup,4,
beef,5065,Beef &amp; Roni,3,
beef,18399,Beef  Mint &amp; Cucumber Salad (21 Day Wonder Diet: Day 10),3,
beef,31533,Autumn Beef Mushroom Soup,4,
beef,15095,Beans and Burger (Hillbilly Chili),4,
beef,21240,Corned Beef Excitement!,5,
beef,48548,Hearty Beef Stew,4,
beef,26844,Lisa's Borscht,2,
beef,36915,Basic Ground Beef Chili,3,
beef,33291,Mom's Fast &amp; Easy Vegetable Beef Soup,3,
beef,4263,Panda Express' Beijing Beef Copycat,4,
beef,40908,Hamburger Soup With Black-Eyed Peas and Kale,2,
beef,10706,Quick Beef With Macaroni,4,
beef,38964,Beef and Potato Stew,5,
beef,4685,Mahogany Beef,5,
beef,53046,Basic Chili,3,
beef,8041,Easy Stuffed Cabbage Soup,3,
beef,6226,Crock Pot Pepperoncini Beef Roast,4,
beef,46133,Beef Vegetable Stew,4,
beef,27511,Eggplant (Aubergine) Dressing,3,
beef,42485,Teriyaki Beef Soup,4,
beef,29090,Simple Shepherd's Pie,3,
beef,6324,Low-Fat Burgundy Beef & Vegetable Stew,4,
beef,35385,Beef Marinade,5,
beef,52946,Beef &amp; Couscous Stuffed Roasted Bell Peppers,2,
beef,38514,Desperation Beef,4,
beef,14166,Basic Beef Stew,4,
beef,49447,Beef Barley Soup,3,
beef,2541,Uncle Bill's French Dip and Roast Beef Sandwich,4,
beef,33441,Quick &amp; Thick Spaghetti Sauce With Meat,2,
beef,24727,Vegetable Beef Stew With a Kick,3,
beef,18962,Beef Fried Rice,4,
beef,14155,Beef Cubes over Egg Noodles,4,
beef,36146,Cabbage Beef Soup,4,
beef,13969,Vegetable Beef Barley Soup,3,
beef,9829,Easy 5-Ingredient Chili,3,
beef,22251,Healthy Corned Beef Hash With Fried Eggs,4,
beef,42117,Arroz Rojo With Beef,4,
beef,46754,Super Easy Vegetable Beef Soup,4,
beef,48183,6 Layer Dinner,2,
sugar,38799,Brown Sugar Ginger Sugar Cookie Modification,5,
sugar,47138,Basic Sugar Syrup,5,
sugar,20205,Magic Bullet Powdered Sugar,5,
sugar,26777,Burnt Sugar Toast,5,
sugar,22173,Bubble Tea Sugar Syrup,4,
sugar,53334,Cr&egrave;me Brul&eacute;e Sugar,2,
sugar,1062,Mom's Cheat Doughnuts,5,
sugar,43781,Baked Blueberry Thing,4,
sugar,8397,Nimbu Pani (Lemonade),4,
sugar,11566,Sparkling Cranberries,4,
sugar,49087,Citrus Coolers,3,
sugar,56632,Flocking Cookies With Colored Sugars,5,
sugar,1150,Sugared Cranberries,5,
sugar,31634,Cherry- Raisin Coffee Cake,4,
sugar,11222,Sugar Syrup for Light or Dark Spirits - Pete Evans,5,
sugar,6247,Easy Vanilla Soda,5,
